729407-infra01,10.15.243.138,controller
729406-infra02,10.15.243.137,controller
729405-infra03,10.15.243.136,controller
729404-logging01,10.15.243.135,logging
729403-logging02,10.15.243.134,logging
729402-logging03,10.15.243.133,logging
729401-compute01,10.15.243.132,compute
729400-compute02,10.15.243.131,compute
729399-compute03,10.15.243.130,compute
729398-compute04,10.15.243.129,compute
729397-compute05,10.15.243.128,compute
729396-compute06,10.15.243.127,compute
729395-compute07,10.15.243.126,compute
729394-compute08,10.15.243.125,compute
729393-compute09,10.15.243.124,compute
729392-cinder01,10.15.243.123,cinder
729391-cinder02,10.15.243.122,cinder
729390-cinder03,10.15.243.121,cinder
729389-swift01,10.15.243.120,swift
729388-swift02,10.15.243.119,swift
729387-swift03,10.15.243.118,swift
