729407-infra01,3c:fd:fe:9c:6f:c0,172.22.0.23,255.255.252.0,172.22.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
729406-infra02,3c:fd:fe:9c:6c:a0,172.22.0.24,255.255.252.0,172.22.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
729405-infra03,68:05:ca:32:46:fc,172.22.0.25,255.255.252.0,172.22.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
729404-logging01,3c:fd:fe:9c:62:b0,172.22.0.26,255.255.252.0,172.22.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
729403-logging02,3c:fd:fe:9c:66:5c,172.22.0.27,255.255.252.0,172.22.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
729402-logging03,3c:fd:fe:9c:6f:a0,172.22.0.28,255.255.252.0,172.22.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
729401-compute01,3c:fd:fe:9c:60:48,172.22.0.29,255.255.252.0,172.22.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
729400-compute02,3c:fd:fe:9c:65:fc,172.22.0.30,255.255.252.0,172.22.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
729399-compute03,68:05:ca:35:8f:44,172.22.0.31,255.255.252.0,172.22.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
729398-compute04,3c:fd:fe:9c:5f:78,172.22.0.32,255.255.252.0,172.22.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
729397-compute05,3c:fd:fe:9c:74:a0,172.22.0.33,255.255.252.0,172.22.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
729396-compute06,3c:fd:fe:9c:6d:ac,172.22.0.34,255.255.252.0,172.22.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
729395-compute07,68:05:ca:32:47:40,172.22.0.35,255.255.252.0,172.22.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
729394-compute08,3c:fd:fe:9c:63:00,172.22.0.36,255.255.252.0,172.22.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
729393-compute09,3c:fd:fe:9c:65:24,172.22.0.37,255.255.252.0,172.22.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-generic
729392-cinder01,3c:fd:fe:9c:71:54,172.22.0.38,255.255.252.0,172.22.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-cinder
729391-cinder02,3c:fd:fe:9c:71:3c,172.22.0.39,255.255.252.0,172.22.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-cinder
729390-cinder03,3c:fd:fe:9c:5f:2c,172.22.0.40,255.255.252.0,172.22.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-cinder
729389-swift01,3c:fd:fe:9c:6c:4c,172.22.0.41,255.255.252.0,172.22.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-swift
729388-swift02,3c:fd:fe:9c:61:2c,172.22.0.42,255.255.252.0,172.22.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-swift
729387-swift03,3c:fd:fe:9c:63:94,172.22.0.43,255.255.252.0,172.22.0.1,8.8.8.8,p1p1,ubuntu-14.04.3-server-unattended-osic-swift
